,,,"€ 68,900.00",
Nummer,Klageinhalt,Urteil,Schätzung,Kommentar
,,,,
a),"(Dach, Brandschutz)",,,
,Entgegen den Anforderungen nach § 30 Abs. 5 und 7 sowie § 32 Abs. 5 BauO NW ,,,
aa),"ist die Brandwand zum linken (östlichen) Nachbarn hofseitig nur 25 cm (statt 30 cm) über Dach hoch geführt, vgl. hierzu Gutachten Faßbender (Anlage K 2), S. 12 - 15, 24 -28,",,,
bb),"sind brennbare Baustoffe für die über Dach geführten Brandwände verwendet worden, vgl. hierzu Gutachten Faßbender (Anlage K 2), S. 17, 21, 24 -28,",Ja,,
cc) ,"befinden sich in den über Dach geführten Brandwänden Hohlräume, vgl. hierzu Gutachten Faßbender (Anlage K 2), S. 18, 19, 24 -28,",Ja,,
dd),"befinden sich Dachflächenfenster und Dachgauben nicht mindestens 1,25 m von den Brandwänden entfernt und werden von den Brandwänden auch nicht mindestens 30 cm überragt, vgl. hierzu Gutachten Faßbender (Anlage K 2), S. 13 - 17, 24 -28, ",Ja,,
ee),"ist die Mauerkrone der hofseitigen Giebelwand/Gebäudetrennwand zum rechten (westlichen) Nachbarn zu niedrig und mit brennbaren Baustoffen ausgeführt vgl. hierzu Gutachten Faßbender (Anlage K 2), S. 22, 23, 24 -28,",Ja,,
,,,,
b) ,"(Dach mit Gauben, Anschlüsse und Einfassungen, u. a.)",,,
,"Entgegen den a. a. R. d. T., die u. a. auf S. 33, 34, 39, 40, 43 im Gutachten Faßbender (Anlage K 2) zitiert sind, ",,,
aa),"sind bei Anschlüssen, die in der Richtung der Traufe bzw. dem unteren Ende des Daches ausgerichtet sind, die Dachziegel von dem Anschlussblech nicht mindestens 100 mm überdeckt, vgl. hierzu Gutachten Faßbender (Anlage K 2), S.29, 34,",Ja,,
,,,,
bb),"sind bei vereinzelten Anschlüssen, die in seitlicher Richtung ausgerichtet sind, die profilierten Dachziegel im Hochpunkt der Dachziegel nicht von dem Metallanschluss ausreichend überlappt, vgl. hierzu Gutachten Faßbender (Anlage K 2), S.30, 31, 35,",Ja,,
cc),"sind bei seitlichen Anschlüssen die zur Anwendung gekommenen Schichtstücke aus Blei untereinander in Richtung der Dachneigung nicht mindestens 100 mm überlappt, vgl. hierzu Gutachten Faßbender (Anlage K 2), S.29 – 31, 35,",Ja,,
dd),"sind vereinzelt Schadstellen in den Metallanschlüssen der Dacheindeckung vorhanden, durch die Wasser in die Bausubstanz gelangen kann, vgl. hierzu Gutachten Faßbender (Anlage K 2), S.33, 35,",Ja,,
ee),"erfolgte der Anschluss des Kamins an die Dacheindeckung durch Baustoffe und eine Bauart, die nicht in den Fachregeln geregelt und benannt ist vgl. hierzu Gutachten Faßbender (Anlage K 2), S.39,",Ja,,
ff),"ist das verwendete selbstklebende Anschlussband nicht in den Fachregeln des Deutschen Dachdeckerhandwerks geregelt und entspricht auch nicht den dort genannten Materialien, Produkten oder Bauweisen und löst sich bereits ab, vgl. hierzu Gutachten Faßbender (Anlage K 2), S. 36 – 40,",Ja,,
gg),"überdecken die Dachziegel die Aufkantung der darunterliegende Flachdachabdichtung nicht mindestens 100 mm, vgl. hierzu Gutachten Faßbender (Anlage K 2), S. 41 - 43.",Ja,,
hh),"Die Dacheindeckung erfolgte teilweise mit beschädigten Dachziegeln, vgl. hierzu Gutachten Faßbender (Anlage K 2), S. 44 – 47.",Ja,,
jj),"Die Unterdeckbahn hinterläuft die Flachdachabdichtung der Gaube, teilweise haben sich in der Unterdeckbahn Wassersäcke ausgebildet, zudem befindet sich im Bereich der Dacheindeckung und der Traufe teilweise Bauschutt auf der Unterdeckbahn, welcher den Lüftungsquerschnitt übermäßig einschränkt, vgl. hierzu Gutachten Faßbender (Anlage K 2), S.48 – 53.",Ja,,
kk),"Die Dampfbremsfolie ist ohne linienförmige bzw. lineare Anpressung an die untere Innenseite des Sparrens ausgeführt, vgl. hierzu Gutachten Faßbender (Anlage K 2), S.54 – 56.",Ja,,
ll),"Eine Windsogbefestigung der Dacheindeckung fehlt, vgl. hierzu Gutachten Faßbender (Anlage K 2), S. 57 – 61.",Ja,,
mm),"Die zweilagige Flachdachabdichtung auf den Gauben und auf der Dachterrasse ist untereinander nicht vollflächig verklebt, vgl. hierzu Gutachten Faßbender (Anlage K 2), S.62, 63, 65.",Ja,,
nn),"Auf der Oberfläche der Bitumenabdichtung sind Strukturschäden aufgrund mechanischer Einwirkungen sowie zu hoher Temperatureinwirkung zu erkennen, Dachziegel liegen auf, die Trägereinlage der Bitumenbahn ist partiell offen sichtbar, vgl. hierzu Gutachten Faßbender (Anlage K 2), S.64, 66.",Ja,,
c),(Flachdach oberste Dachterrasse),,,siehe e)
aa),"Entgegen den a. a. R. d. T. sind die Nahtfügebreiten der Schweißnähte der Flachdachabdichtung der obersten Dachterrasse wiederholt nicht mindestens 20 mm breit, was durch Falten, Erhebungen und einen bereits durchgeführten Reparaturversuch indiziert ist, vgl. hierzu Gutachten Faßbender (Anlage K 2), S.67 – 71.",Nein,,siehe e)
bb),"Die Unterkonstruktion bzw. die Flachdachabdichtung der obersten Dachterrasse ist ohne Gefälle ausgeführt, vgl. hierzu Gutachten Faßbender (Anlage K 2), S. 67, 71, 72. Die Beläge sind ohne Gefälle verlegt, hierzu S. 165.",Ja,,siehe e)
cc),"Im Bereich der Geländerfüße wurde der Abdichtungswerkstoff gewechselt. Die Flüssigabdichtung ist nicht mindestens 10 cm auf die Oberfläche der Abdichtungsoberlage geführt. Ein Trägervlies fehlt., vgl. hierzu Gutachten Faßbender (Anlage K 2), S. 73 – 76.",Ja,,siehe e)
d),"(Flachdach, Abdichtungsbahn)",Ja,,siehe e)
,"Die Dachbahn von Bauder ist nicht mechanisch fixiert, vgl. hierzu Gutachten Faßbender (Anlage K 2), S. 77 – 83, und nicht windsogsicher, vgl. hierzu Gutachten Faßbender (Anlage K 2), S.83 - 85. ",,,
e),"(Übrige Flachdächer, Terrassen)",,"€ 6,500.00","Danke! Hier eine grobe Kostenschätzung für Flachdachterrassen (40 m²) mit neuem Bodenbelag unter Holzdielen in Köln:

Begutachtung vor Ort: ca. 120–350 €
Untergrundvorbereitung (Trockenlegung, Abdichtung, ggf. Schalung/Vorbereitung): ca. 400–1.000 €
Neuer Bodenbelag unter Dielen (Materialwahl z. B. druckbehandeltes Holz, WPC oder ähnliche Systeme): ca. 25–60 €/m², insgesamt ca. 1.000–2.400 €
Dielen/Unterkonstruktion (Holz/Alu, ggf. Konterlattung): ca. 300–900 €
Befestigung, Konterlattung, Belagsschnitte, Abschlussleisten: ca. 200–500 €
Oberflächenbehandlung/Öl/Wehrung (optional): ca. 100–300 €
Arbeitszeit, Anfahrt, Koordination: pauschal ca. 300–700 €
Gesamtschätzung: grob ca. 2.420–6.150 €"
,"Gemäß Gutachten Faßbender (Anlage K 2), S. 86 – 107 liegen bei der Ausführung der übrigen Flachdächer und Terrassen folgende Verstöße gegen die a. a. R. d. T. vor:",,,
aa),Als Oberlage wurde eine kaltselbstklebende Polymerbitumenbahnen statt einer Polymerbitumen-Schweißbahn ausgeführt.,Ja,,
,,,,
bb),"Die Flachdachabdichtung ist nicht mindestens 15 cm über die Belagsoberfläche hochgeführt und nicht befestigt, ein Randabschluss fehlt teilweise.",Ja,,
cc),"An den Terrassentüren ist die Flachdachabdichtung nicht mindestens 5 cm über die Belagsoberfläche hochgeführt, angeschlossen und befestigt.",Ja,,
dd),"Die Unterkonstruktion bzw. die Flachdachabdichtung ist ohne Gefälle ausgeführt. Die Beläge sind ohne Gefälle verlegt, hierzu S. 165.",Ja,,
f),(Dachrinnen),,"€ 13,000.00","Grobe Kostenschätzung für Neuverlegung der Dachentwässerung in Köln (4 Dachseiten, ca. 40 m Gesamtleitungslänge, inkl. ggf. Anschlüssen und Terrassenableitungen):

Begutachtung vor Ort: ca. 120–350 €
Neue Dachentwässerung (nach DIN, Rohre, Fallrohre, Ablaufgänge): ca. 600–1.200 € pro 10 m Leitung → ca. 2.400–4.800 €
Anschluss an Kanalsystem/Schachtarbeiten, Dichtungen: ca. 600–2.000 €
Terrassen/Sockelbereiche (Abdichtung, Ableitungen, Gefällespuren): ca. 1.000–3.000 €
Untergrundvorbereitung und ggf. Aufbau/Unterkonstruktion: ca. 400–1.500 €
Arbeitszeit, Anfahrt, Koordination: pauschal ca. 300–700 €
Gesamtschätzung: grob ca. 5.000–13.300 € je nach Tragweite, Materialwahl (Metall/innen), Gefälleführung, vorhandene Anschlüsse und Bauzustand.
"
,"Gemäß Gutachten Faßbender (Anlage K 2), S. 108 - 121 liegen bei den Dachrinnen folgende Verstöße gegen die a. a. R. d. T. vor:",,,
aa),Die Weichlotbreiten betragen nur 3mm Breite statt 10 mm im Waagerechten und 5 mm mm im Senkrechten. Dadurch ist die Festigkeit zu gering. ,Ja,,
bb),Die Rohrschellen der Regenrinnen über 8 m Höhe sind nicht mit Dübel und Schrauben im Mauerwerk befestigt sondern nur mit Dorn bzw. einem Stahlnagel. Die einzelnen Längen der Fallohrleitung sind nicht gegen Abrutschen gesichert.,Ja,,
cc),"Die Vorderkante der Dachrinne liegt höher, nicht tiefer als ihre Hinterkante. ",Ja,,
dd),Die Flachdachabdichtung der oberen Dachterrasse ist nicht ausreichend sicher gegen Hinterlaufen an die innenliegende Rinne des Nachbarn herangeführt worden.,Ja,,
ee),Die Querschnitte der Dachrinnen oberhalb der Einhangsstutzen sind größtenteils zu klein.,Nein,,
ff),Die Dachrinnen aus Zinkblech (Titanzink) sind in der wasserführenden Ebene nicht mit einem Korrosionsschutz beschichtet worden.,Ja,,
gg),Viele Dachrinnen weisen Knicke und Dellen auf.,Ja,,
g),(Dachentwässerung),Ja,"€ 4,900.00","Danke für die Anfrage. Hier eine grobe Kostenschätzung für Dachentwässerung, die auf dem Hof in den Kanal führt, inklusive Neuverlegung des Hofbodens (ca. 6 m²) in Köln:

Begutachtung vor Ort (Dach-/Installateur, ggf. Tiefbau): ca. 120–350 €
Anpassung/Verlegung der Dachentwässerung (Rohrleitung, Abfluss, ggf. Kanäleinbindung): ca. 300–600 € pro Anschlussmeter
Kanalanschluss/Schachtarbeiten (falls nötig, inkl. Dichtungen, ggf. Silo-/Schachtaufsatz): ca. 400–1.200 €
Hoffliesen entfernen (Bad-/Außengestaltung) und Untergrund vorbereiten: ca. 200–400 €
Neue Hoffliesen ca. 6 m² (z. B. keramische Pflasterklinker, Betonplatten): ca. 120–180 € pro m², insgesamt ca. 720–1.080 €
Verfugung, Abdichtung, Oberflächenabdichtung: ca. 150–350 €
Arbeitszeit, Anfahrt, Koordination: pauschal ca. 300–700 €
Gesamtschätzung: grob ca. 2.700–4.900 € je nach Ausschnitt, Rohrführung, Bodenaufbau und gewählter Fliese."
,"Gemäß Gutachten Faßbender (Anlage K 2), S. 122 - 130 weist die Ausführung der Dachentwässerung folgende Verstöße gegen die a. a. R. d. T. auf:",,,
,,,,
,"Das auf Dächern anfallende Regenwasser wird nicht über die Entwässerungsanlage abgeleitet sondern in den Innenhof und führt dort zu einer Überlastung der bereits beschädigten Wandsockel und Türschwellen, Pfützenbildung und Rutschgefahr bei Frost. Zudem wird das Niederschlagswasser kaskadenartig von den höher gelegenen Dachflächen auf die tiefer liegenden abgeleitet und mit den dortigen Niederschlagsmengen zusammengeführt.",,,
h),Im Innenhof sind die Sockel nicht ausreichend gegen Feuchtigkeit geschützt und weisen bereits Schäden auf. ,Ja,,
i),"Gemäß Gutachten Faßbender (Anlage K 2), S. 131 - 136 weist die Ausführung der Metallarbeiten an den Dachgauben folgende Mängel bzw. Verstöße gegen die a. a. R. d. T. auf:",,,
aa),Die Anschlussbleche in den Laibungen der Dachgaube weisen Dellen auf.,Ja,,
bb),"Die Fensterbänke haben kein Gefälle zur Dachseite hin, vielmehr besteht teilweise Kontergefälle. ",Ja,,
cc),Der Anschluss der Fensterbänke an das Fenster ist wasserhinterläufig. Eine Aufkantung fehlt im Bereich der Rollladenführungsschienen. Anschlussdichtungen sind undicht. ,Ja,,
j),"Die geneigten Dachrandabdeckungen sind auf der bewitterten Seite bzw. von oben mit Schrauben befestigt, vgl. Gutachten Faßbender (Anlage K 2), S. 137 – 142..",Nein,,
k),"Der Innenraum-Parkettboden und der darunterliegende Bodenaufbau samt Estrich und Trittschalldämmung verlaufen unterhalb der Terrassentüre 0,6 m tief in den Außenbereich der obersten Dachterrasse, eine Luftdichtheitsebene fehlt, vgl. Gutachten Faßbender (Anlage K 2), S. 143 – 147.",Ja,"€ 11,000.00","Schon gemacht, Kosten aus Urteil"
l),"Die hofseitige Dachgaube ist aus diversen Holzteilen und –resten zusammengestückelt, auf der Innenseite haben sich durch Bewegungen der Bauteile deutliche Risse gebildet, so dass die Standsicherheit nicht dauerhaft gewährleistet und nicht nachweisbar ist, vgl. Gutachten Faßbender (Anlage K 2), S. 148 – 153.",Ja,,
m),"An der straßenseitigen Dachterrasse erfolgten Blechverkleidungen und die seitlichen Holzbekleidungen mit für den Außenbereich nicht zugelassenen Schrauben, vermutlich Trockenbauschrauben, vgl. Gutachten Faßbender (Anlage K 2), S. 154 – 157.",Ja,,
